Date,Close
29/04/2021,4203.4
30/04/2021,4174.4
03/05/2021,4185.8
04/05/2021,4158.3
05/05/2021,4159.9
06/05/2021,4194.2
07/05/2021,4225.2
10/05/2021,4183.4
11/05/2021,4146.2
12/05/2021,4058.7
13/05/2021,4107.1
14/05/2021,4168.9
17/05/2021,4157.8
18/05/2021,4123.1
19/05/2021,4111.6
20/05/2021,4154.2
21/05/2021,4151.8
24/05/2021,4193.8
25/05/2021,4185.5
26/05/2021,4193.1
27/05/2021,4199
28/05/2021,4202.4
01/06/2021,4198.6
02/06/2021,4206.2
03/06/2021,4191.3
04/06/2021,4228.3
07/06/2021,4225.5
08/06/2021,4225.8
09/06/2021,4218.6
10/06/2021,4238.1
11/06/2021,4245.7
14/06/2021,4254.7
15/06/2021,4246.6
16/06/2021,4223.1
17/06/2021,4222.2
18/06/2021,4187.25
21/06/2021,4213.8
22/06/2021,4236.2
23/06/2021,4231.4
24/06/2021,4256.1
25/06/2021,4271.3
28/06/2021,4280.4
29/06/2021,4282
30/06/2021,4288.6
01/07/2021,4310.8
02/07/2021,4342.8
06/07/2021,4333.9
07/07/2021,4349.7
08/07/2021,4312.9
09/07/2021,4359.9
12/07/2021,4376.5
13/07/2021,4361.2
14/07/2021,4367.7
15/07/2021,4352
16/07/2021,4318.6
19/07/2021,4251.2
20/07/2021,4315.6
21/07/2021,4350.5
22/07/2021,4359.5
23/07/2021,4403.1
26/07/2021,4414.3
27/07/2021,4394.6
28/07/2021,4393.8
29/07/2021,4411.8
30/07/2021,4389.5
02/08/2021,4379.7
03/08/2021,4415.1
04/08/2021,4394.7
05/08/2021,4421.6
06/08/2021,4429.4
09/08/2021,4425.7
10/08/2021,4429.9
11/08/2021,4440.6
12/08/2021,4454.6
13/08/2021,4462.5
16/08/2021,4474
17/08/2021,4443.6
18/08/2021,4394.5
19/08/2021,4401.4
20/08/2021,4436.9
23/08/2021,4475.5
24/08/2021,4482.5
25/08/2021,4492.9
26/08/2021,4466.5
27/08/2021,4505.6
30/08/2021,4525.2
31/08/2021,4520.5
01/09/2021,4521.3
02/09/2021,4535.2
03/09/2021,4534.4
07/09/2021,4519.3
08/09/2021,4512.6
09/09/2021,4492.3
10/09/2021,4458.3
13/09/2021,4468.9
14/09/2021,4444.6
15/09/2021,4481.7
16/09/2021,4474.3
17/09/2021,4464.33
20/09/2021,4348.25
21/09/2021,4343.25
22/09/2021,4384
23/09/2021,4438
24/09/2021,4445.75
27/09/2021,4433
28/09/2021,4343.5
29/09/2021,4349.75
30/09/2021,4297.75
01/10/2021,4343.75
04/10/2021,4291.25
05/10/2021,4334
06/10/2021,4354
07/10/2021,4390
08/10/2021,4382.25
11/10/2021,4351
12/10/2021,4340.75
13/10/2021,4355
14/10/2021,4429
15/10/2021,4462.5
18/10/2021,4477.5
19/10/2021,4511.25
20/10/2021,4528
21/10/2021,4541.75
22/10/2021,4536.5
25/10/2021,4558
26/10/2021,4565.25
27/10/2021,4544.5
28/10/2021,4587.5
29/10/2021,4597
01/11/2021,4605.75
02/11/2021,4623.5
03/11/2021,4652.25
04/11/2021,4673.25
05/11/2021,4690.25
08/11/2021,4694
09/11/2021,4678.25
10/11/2021,4642
11/11/2021,4643
12/11/2021,4678.25
15/11/2021,4679
16/11/2021,4696
17/11/2021,4686.25
18/11/2021,4701.5
19/11/2021,4694.5
22/11/2021,4679.75
23/11/2021,4688.5
24/11/2021,4699
26/11/2021,4595.75
29/11/2021,4651
30/11/2021,4566.25
01/12/2021,4508.5
02/12/2021,4575.75
03/12/2021,4537.5
06/12/2021,4590
07/12/2021,4685
08/12/2021,4699
09/12/2021,4667
10/12/2021,4711
13/12/2021,4668.75
14/12/2021,4637
15/12/2021,4709.5
16/12/2021,4668.75
17/12/2021,4636.46
20/12/2021,4558.5
21/12/2021,4640.75
22/12/2021,4686
23/12/2021,4715.75
27/12/2021,4782.25
28/12/2021,4778.5
29/12/2021,4784.5
30/12/2021,4772.25
31/12/2021,4758.5
03/01/2022,4786
04/01/2022,4784.25
05/01/2022,4692.5
06/01/2022,4687.5
07/01/2022,4667.75
10/01/2022,4662.25
11/01/2022,4705
12/01/2022,4716.25
13/01/2022,4652
14/01/2022,4654.75
18/01/2022,4571.25
19/01/2022,4524.25
20/01/2022,4474.75
21/01/2022,4390
24/01/2022,4403.75
25/01/2022,4349
26/01/2022,4341.5
27/01/2022,4317.75
28/01/2022,4423.25
31/01/2022,4504.25
01/02/2022,4535
02/02/2022,4577.25
03/02/2022,4469
04/02/2022,4492.5
07/02/2022,4475.75
08/02/2022,4512.5
09/02/2022,4577.75
10/02/2022,4497.5
11/02/2022,4409.5
14/02/2022,4394
15/02/2022,4464.5
16/02/2022,4470
17/02/2022,4374.5
18/02/2022,4343.5
22/02/2022,4300
23/02/2022,4222
24/02/2022,4284
25/02/2022,4380
28/02/2022,4368
01/03/2022,4303.75
02/03/2022,4381.75
03/03/2022,4359.25
04/03/2022,4327.25
07/03/2022,4198.5
08/03/2022,4168.75
09/03/2022,4275.25
10/03/2022,4257.25
11/03/2022,4201.5
